nr	selection	note
51	접으려	"(종이·헝겊 등을) fold
나는 편지를 반으로 접었다

I folded the letter in half. 듣기반복재생

2.	(날개·우산·자전거 등을) fold, collapse
접는 의자[자전거]

a collapsible chair[bicycle] 듣기반복재생

3.	(의견·생각·문제 등을 제쳐 놓다) lay[put, set] aside; (계획 등을) shelve
우리는 그 문제를 당분간 접어 두기로 했다

We decided to put aside the question for sometime[now]."
52	번잡한	"1.	chaotic; (붐비다) crowded; (교통이) congested, busy, jammed"
53	멀찌감치	"1.	from[at] a distance"
54	떨어져	"1.fall,drop,drip,slip   2.fall,drop,go[come] down,decline,decrease"
55	무심한	"	casual
"
56	흐름을	"1.flow,stream   2.flow"
57	느긋하게	"1.	relaxed, carefree, easygoing, (informal) laid-back
그는 항상 느긋해 보인다

He always looks carefree[laid-back]. "
58	뒤처지는	"1.fall behind,lag behind   2.fall behind,lag behind,be behind"
59	또래	"	peer (group), same age group
또래와 어울리다

mix with one's peer group "
60	동기들	"	(이유, 원인) motive
범행 동기는 아직 밝혀지지 않았다

The motive for the crime is not yet known."
61	사회적	"	social
인간은 사회적인 동물이다

Human beings are social creatures[animals]. "
62	도태되고	"1.	be eliminated
여럿 가운데에서 필요 없거나 적당하지 않다고 여겨지는 것들이 없어지다.

For things that are considered unnecessary or improper among many to be eliminated.

2.	be naturally selected
환경에 적응하지 못하는 생물이 살아남지 못하고 사라져 없어지다.

For organisms that are incapable of adapting to the environment to disappear."
63	발자국씩	"(발로 밟은 자국) footprint; (길게 이어진) tracks
그는 곰의 발자국을 따라갔다

He followed the bear tracks. 

(걸음) step, pace
세 발자국 앞으로 나오세요

Move three steps forward."
64	품	"1.	(가슴) (formal) breast; (여성의) (literary) bosom
아기가 엄마 품에서 자고 있다

The baby is sleeping in his mother's arms[at his mother's breast].


	(옷의) width (of)
품이 크다[작다]

be loose[tight] 


(보호받거나 안정을 취할 수 있는 곳)
자연의 품에 안기다

be enfolded in nature "
65	핵심적	"	key, core, essential, chief, main, central
핵심적인 역할을 하다

play a key[central] role "
66	저력	"	potential, potential[latent] energy
저력을 발휘[과시]하다

display[boast of] one's potential[latent] energy "
67	닥쳐	"	(입을 다물다) (impolite) shut up, keep one's mouth shut
"
68	"개의치 않는다"	"do not care[mind], pay no attention (to), be indifferent (to)
나는 칭찬이나 비난 따위에 개의치 않는다

I am indifferent to praise or blame. "
69	갈팡질팡	""
70	오락가락	"1.coming and going; to and fro; back and forth; off and on.   2.오락가락하다 come and go; move back and forth."
71	한동안	"(부사적) for quite a time[while], for a good while, for some time, for a fairly long time
한동안 머물다

stay quite a while "
72	지속적	"	continuous, continuous
지속적인 경제성장

continuous economic growth "
73	콧노래	"	humming
그는 운전을 하면서 콧노래를 흥얼거렸다

He was humming to himself as he drove. "
74	월세	"monthly rent
월세가 얼마입니까?

How much is the monthly rent[rental fee]? "
75	밀리지	"1.	(일·돈 등이) (일이) be left undone; (연체되다) be overdue
밀린 전기세를 내다

pay an outstanding[overdue] electricity bill 듣기반복재생

2.	(힘·세력 등에)
인파에 밀려 나는 그의 손을 놓쳤다

I was jostled in the crowd and let go of his hand. 듣기반복재생

3.	(차가)
집으로 돌아오는 내내 차가 밀렸다

It was bumper to bumper all the way back home. 듣기반복재생

4.	(일정·순서 등이) be moved back
내 발표 순서가 뒤로 밀렸다

My presentation has been moved back. 듣기반복재생"
76	여지없이	"without/beyond doubt"
77	솔선수범하며	"솔선수범하다

1.	take the initiative and set an example"
78	껴안아야	"1.	hug, cuddle, (literary) embrace, (literary) clasp
아기를 꼭 껴안다

hug[hold] the baby close[tight] "
79	숨이	"숨차다

	be out of breath, (be) breathless, panting, be short of breath, be short-winded
숨찬 목소리로 말하다

gasp[puff, pant] out[forth, away] "
80	우뚝	"1.【높이】high,aloft,―하다(be) high,lofty,tall,towering   2.【뛰어나게】eminently,prominently,outstandingly,―하다(be) eminent,prominent,conspicuous,outstanding"
81	낯선	"1.	unfamiliar
2.	a stranger
3.	strange
"
82	적응하는	"1.	adapt; adjust
어떠한 조건이나 환경에 익숙해지거나 알맞게 변화하다.

To get accustomed to, or change to fit into, a condition or environment.

변화에 적응하다."
83	멀찍이	"from[at] a distance
멀찍이 서서 구경하다

watch from a distance 듣기반복재생"
84	경쟁	"[명사] competition, contest (for), rivalry (between), contend (for), [동사] compete, contest, vie (with), enter into competition (with)
경쟁 관계에 있다

be in competition (with) "
85	조장한다	"	encourage; (악화시키다) aggravate
과소비를 조장하다

encourage[foster; promote] excessive consumption "
86	오락가락하고	"(비나 눈이 내렸다 그쳤다 하는 모양)
비가 오락가락한다

It rains on and off. 

	(정신이)
그는 가끔 정신이 오락가락한다

His mind wanders sometimes."
87	근사하게	"1.	(유사하다) close , similar
아주 똑같이는 못하겠지만 근사하게는 할 수 있습니다

I can't do it exactly the same, but I can come pretty close."
88	흘러간다	"	(물·강물 등이) flow, run; (강물이) empty into
한강은 황해로 흘러간다

The Han River runs[flows; empties] into the Yellow Sea. 듣기반복재생
2.	(시간·세월 등이) pass, go by, (formal) elapse
그 후로 20년이라는 시간이 흘러갔다

Twenty years have passed[gone by] since then. "
89	용기	"It is brave of sb (to do sth)
It was brave of you to speak on behalf of the people.
사람들을 대변해 주다니 당신 참 용기 있군요

be brave enough to do sth
I wasn't brave enough to stand up to my father.
나는 아버지에게 대들 만한 용기가 없었다"
